ID,nb_visits,entry_nb_visits,exit_nb_visits
http://books.openedition.org/cjb/483,11951,11770.0,11708.0
http://books.openedition.org/cemca/843,8078,7864.0,7835.0
http://books.openedition.org/cemca/388,7872,7775.0,7753.0
http://books.openedition.org/ifra/544,7103,6984.0,6893.0
http://books.openedition.org/cemca/696,5832,5645.0,5636.0
http://books.openedition.org/cemca/1438,5226,5162.0,5115.0
http://books.openedition.org/oep/405,3421,3077.0,3123.0
http://books.openedition.org/cedej/1150,3363,3349.0,3329.0
http://books.openedition.org/pup/1530,3340,3257.0,3244.0
http://books.openedition.org/cemca/1338,3255,3227.0,3230.0
http://books.openedition.org/ifra/634,3122,2980.0,2932.0
http://books.openedition.org/ifra/653,2987,2765.0,2733.0
http://books.openedition.org/cemca/3011,2713,2693.0,2617.0
http://books.openedition.org/pupvd/679,2657,2627.0,2613.0
http://books.openedition.org/ifra/610,2564,2491.0,2450.0
http://books.openedition.org/obp/1187,2441,2353.0,2324.0
http://books.openedition.org/puam/1130,2359,2287.0,2251.0
http://books.openedition.org/ifea/3399,2326,2259.0,2148.0
http://books.openedition.org/cemca/684,2253,2200.0,2183.0
http://books.openedition.org/pur/3983,2241,2166.0,2141.0
http://books.openedition.org/ifra/632,2240,1977.0,1959.0
http://books.openedition.org/ifea/2094,2200,2185.0,2172.0
http://books.openedition.org/ceup/575,2118,2033.0,1996.0
http://books.openedition.org/ifra/1024,2114,2089.0,2052.0
http://books.openedition.org/pucl/1036,2092,1961.0,1964.0
http://books.openedition.org/editionsmsh/84,2021,1944.0,1883.0
http://books.openedition.org/cemca/862,2008,1853.0,1825.0
http://books.openedition.org/cdf/3379,1958,1917.0,1891.0
http://books.openedition.org/editionsmsh/1251,1833,1816.0,1799.0
http://books.openedition.org/ifea/4868,1764,1756.0,1747.0
http://books.openedition.org/pum/446,1745,1674.0,1621.0
http://books.openedition.org/ifra/761,1640,1587.0,1577.0
http://books.openedition.org/pucl/1648,1635,1609.0,1595.0
http://books.openedition.org/editionsehess/314,1596,1460.0,1215.0
http://books.openedition.org/ifra/762,1522,1439.0,1410.0
http://books.openedition.org/iremam/2421,1460,1418.0,1401.0
http://books.openedition.org/iheid/4344,1458,1382.0,1336.0
http://books.openedition.org/enseditions/864,1453,1281.0,1293.0
http://books.openedition.org/pup/1514,1449,1419.0,1412.0
http://books.openedition.org/oep/332,1443,829.0,824.0
http://books.openedition.org/cdf/156,1435,749.0,498.0
http://books.openedition.org/cemca/2569,1395,1307.0,1292.0
http://books.openedition.org/pucl/624,1379,1349.0,1341.0
