ID,nb_visits,entry_nb_visits,exit_nb_visits
http://calenda.org/205666,1147,1145.0,1143.0
http://calenda.org/234235,784,779.0,770.0
http://calenda.org/400255,703,676.0,670.0
http://calenda.org/194017,648,646.0,645.0
http://calenda.org/388263,602,544.0,559.0
http://calenda.org/395157,581,348.0,334.0
http://calenda.org/255829,577,577.0,571.0
http://calenda.org/310458,570,566.0,564.0
http://calenda.org/362942,530,516.0,499.0
http://calenda.org/398702,530,331.0,316.0
http://calenda.org/393744,529,345.0,315.0
http://calenda.org/395139,506,220.0,257.0
http://calenda.org/397859,499,235.0,271.0
http://calenda.org/393582,449,211.0,267.0
http://calenda.org/268686,426,418.0,413.0
http://calenda.org/390986,419,278.0,244.0
http://calenda.org/398588,400,205.0,224.0
http://calenda.org/391279,386,249.0,253.0
http://calenda.org/232642,383,382.0,381.0
http://calenda.org/390711,342,237.0,212.0
http://calenda.org/390129,338,232.0,239.0
http://calenda.org/393288,331,171.0,186.0
http://calenda.org/396207,327,264.0,268.0
http://calenda.org/398387,324,203.0,222.0
http://calenda.org/395026,318,102.0,136.0
http://calenda.org/393019,313,251.0,258.0
http://calenda.org/402557,312,227.0,229.0
http://calenda.org/396456,311,172.0,192.0
http://calenda.org/397259,297,222.0,219.0
http://calenda.org/391540,287,101.0,129.0
http://calenda.org/392038,287,136.0,153.0
http://calenda.org/399323,286,171.0,134.0
http://calenda.org/393860,284,206.0,208.0
http://calenda.org/400895,278,137.0,160.0
http://calenda.org/394183,276,206.0,213.0
http://calenda.org/389696,274,141.0,157.0
http://calenda.org/193859,272,272.0,270.0
http://calenda.org/392256,272,191.0,193.0
http://calenda.org/382736,266,159.0,183.0
http://calenda.org/392379,265,199.0,208.0
http://calenda.org/334214,260,260.0,256.0
http://calenda.org/392135,258,76.0,92.0
http://calenda.org/399973,255,128.0,131.0
http://calenda.org/394971,252,100.0,118.0
http://calenda.org/396908,251,139.0,153.0
http://calenda.org/393185,250,107.0,111.0
http://calenda.org/393446,250,91.0,97.0
http://calenda.org/396499,249,80.0,83.0
http://calenda.org/390745,245,160.0,159.0
http://calenda.org/392551,244,105.0,135.0
http://calenda.org/394414,241,192.0,192.0
http://calenda.org/383143,237,192.0,195.0
http://calenda.org/387852,237,108.0,132.0
http://calenda.org/393977,237,168.0,143.0
