ID,nb_visits,entry_nb_visits,exit_nb_visits
http://russeurope.hypotheses.org/5848,37844,34569.0,35641.0
http://devhist.hypotheses.org/201,35757,33905.0,34114.0
http://redaccion.hypotheses.org/6,24765,24262.0,24128.0
http://peripoietikes.hypotheses.org/41,21460,20808.0,20716.0
http://recipes.hypotheses.org/8385,19453,19429.0,19326.0
http://biblioweb.hypotheses.org/5365,18311,17778.0,17398.0
http://devhist.hypotheses.org/238,13529,12923.0,12847.0
http://quanti.hypotheses.org/254,13182,13045.0,12921.0
http://infusoir.hypotheses.org/783,12751,12572.0,12509.0
http://russeurope.hypotheses.org/5864,11852,8743.0,10182.0
http://vellocinodeoro.hypotheses.org/71,11246,11036.0,11020.0
http://freakonometrics.hypotheses.org/9404,11089,11066.0,11036.0
http://russeurope.hypotheses.org/5655,10709,7631.0,8892.0
http://russeurope.hypotheses.org/5690,9778,6641.0,8030.0
http://russeurope.hypotheses.org/5692,9193,6714.0,7293.0
http://sonal.hypotheses.org/977,7921,7779.0,7529.0
http://m2dsplille.hypotheses.org/144,7673,7354.0,7414.0
http://freakonometrics.hypotheses.org/2462,7629,7450.0,7363.0
http://russeurope.hypotheses.org/5641,7307,4245.0,5865.0
http://edupass.hypotheses.org/120,7273,6874.0,6881.0
http://russeurope.hypotheses.org/5879,7041,4176.0,5641.0
http://ruedesfacs.hypotheses.org/2365,7001,6951.0,6945.0
http://devhist.hypotheses.org/1215,6958,6370.0,6374.0
http://russeurope.hypotheses.org/5888,6639,3870.0,5336.0
http://peripoietikes.hypotheses.org/590,6461,6330.0,6310.0
http://qualitas.hypotheses.org/1,6164,3476.0,3557.0
http://russeurope.hypotheses.org/5910,6022,3560.0,5033.0
http://russeurope.hypotheses.org/5677,6001,4078.0,4930.0
http://cstc.hypotheses.org/1610,5867,5764.0,5582.0
http://russeurope.hypotheses.org/5721,5607,3390.0,4043.0
http://jazzmusica.hypotheses.org/133,5572,4831.0,4840.0
http://recipes.hypotheses.org/9190,5475,5433.0,5355.0
http://compter.hypotheses.org/16,5346,4986.0,5009.0
http://formation.hypotheses.org/250,5335,5134.0,5056.0
http://russeurope.hypotheses.org/5787,5258,3110.0,4195.0
http://peripoietikes.hypotheses.org/377,5256,4623.0,4667.0
http://russeurope.hypotheses.org/5862,5149,2661.0,3925.0
http://mastersociologie.hypotheses.org/3342,5115,4955.0,4949.0
http://devhist.hypotheses.org/492,5086,4880.0,4839.0
http://russeurope.hypotheses.org/5736,5081,2929.0,3968.0
http://peripoietikes.hypotheses.org/165,5057,4299.0,4390.0
http://freakonometrics.hypotheses.org/19835,5052,5013.0,4966.0
http://ess.hypotheses.org/521,4984,4893.0,4865.0
http://arlap.hypotheses.org/3793,4961,4898.0,4861.0
http://eduveille.hypotheses.org/5706,4923,2467.0,3665.0
http://russeurope.hypotheses.org/5593,4877,2555.0,3457.0
http://arlap.hypotheses.org/4936,4794,4635.0,4504.0
http://russeurope.hypotheses.org/5631,4760,2200.0,3500.0
http://djinns.hypotheses.org/84,4745,4369.0,4374.0
http://russeurope.hypotheses.org/5894,4537,2266.0,3221.0
http://cuedespyd.hypotheses.org/358,4532,4333.0,4330.0
http://russeurope.hypotheses.org/5754,4468,2236.0,3037.0
http://sinelege.hypotheses.org/3498,4446,3947.0,4137.0
http://russeurope.hypotheses.org/5760,4393,1872.0,2967.0
http://couleurs.hypotheses.org/227,4300,4073.0,4022.0
http://russeurope.hypotheses.org/5906,4290,2315.0,3305.0
http://russeurope.hypotheses.org/5839,4288,1462.0,2851.0
http://russeurope.hypotheses.org/5901,4254,2293.0,3067.0
http://russeurope.hypotheses.org/5853,4246,2430.0,3459.0
http://sorbonneco.hypotheses.org/986,4219,4051.0,4008.0
http://criminocorpus.hypotheses.org/13005,4188,4156.0,4029.0
http://politbistro.hypotheses.org/568,4182,3810.0,3890.0
http://soziologieblog.hypotheses.org/5824,4107,2262.0,2787.0
http://enthese.hypotheses.org/139,4028,3630.0,3554.0
http://russeurope.hypotheses.org/5829,4011,1829.0,2895.0
http://peripoietikes.hypotheses.org/61,3824,3463.0,3481.0
http://russeurope.hypotheses.org/5835,3820,2131.0,2746.0
http://russeurope.hypotheses.org/5831,3779,1580.0,2487.0
http://russeurope.hypotheses.org/5870,3773,2009.0,2792.0
http://devhist.hypotheses.org/145,3663,3351.0,3358.0
http://russeurope.hypotheses.org/5600,3647,1673.0,2681.0
http://russeurope.hypotheses.org/5882,3614,1895.0,2910.0
http://russeurope.hypotheses.org/5884,3606,1764.0,2555.0
http://russeurope.hypotheses.org/5561,3570,1907.0,2701.0
http://russeurope.hypotheses.org/5908,3569,2006.0,2712.0
http://edupass.hypotheses.org/1036,3564,3377.0,3413.0
http://quanti.hypotheses.org/930,3554,3454.0,3445.0
http://russeurope.hypotheses.org/5729,3535,1557.0,2550.0
http://russeurope.hypotheses.org/5577,3518,1690.0,2681.0
http://surunsonrap.hypotheses.org/2044,3513,3385.0,3292.0
http://russeurope.hypotheses.org/5790,3509,1300.0,2419.0
http://biospraktikos.hypotheses.org/952,3506,3103.0,2969.0
http://russeurope.hypotheses.org/5810,3447,1720.0,2551.0
http://eduveille.hypotheses.org/267,3376,3055.0,3063.0
http://parenthese.hypotheses.org/1127,3359,3234.0,3216.0
http://dsf.hypotheses.org/428,3318,2941.0,3017.0
http://russeurope.hypotheses.org/5844,3278,1092.0,2047.0
http://russeurope.hypotheses.org/5671,3271,1059.0,2468.0
http://russeurope.hypotheses.org/5586,3267,1447.0,2299.0
http://peripoietikes.hypotheses.org/255,3255,2872.0,2869.0
http://russeurope.hypotheses.org/5644,3240,1642.0,2509.0
http://edupass.hypotheses.org/978,3237,3057.0,3046.0
http://act.hypotheses.org/121,3208,2918.0,2876.0
http://vellocinodeoro.hypotheses.org/579,3202,3002.0,3037.0
http://mae.hypotheses.org/2388,3172,3081.0,3077.0
http://russeurope.hypotheses.org/5725,3134,1151.0,2231.0
http://russeurope.hypotheses.org/5851,3120,1331.0,2449.0
http://littecol.hypotheses.org/234,3107,2892.0,2881.0
