ID,nb_visits,entry_nb_visits,exit_nb_visits
http://polis.revues.org/8619,17797,17677.0,17694.0
http://asiecentrale.revues.org/488,16373,15662.0,15649.0
http://poldev.revues.org/78,16198,14553.0,14551.0
http://polis.revues.org/4122,15628,15185.0,15172.0
http://communicationorganisation.revues.org/1713,15435,13874.0,13930.0
http://educationdidactique.revues.org/543,14183,12664.0,12609.0
http://polis.revues.org/1802,13077,12774.0,12774.0
http://sapiens.revues.org/823,11811,11003.0,11003.0
http://espacepolitique.revues.org/1296,11656,11140.0,11012.0
http://poldev.revues.org/144,11466,10723.0,10697.0
http://polis.revues.org/4663,11196,10982.0,10985.0
http://philonsorbonne.revues.org/102,10153,8517.0,8491.0
http://aspd.revues.org/446,10071,9120.0,9068.0
http://criminocorpus.revues.org/246,9899,8755.0,8678.0
http://linx.revues.org/507,9868,9043.0,9027.0
http://methodos.revues.org/3013,9740,9241.0,9201.0
http://communicationorganisation.revues.org/1462,9693,8700.0,8662.0
http://rfp.revues.org/59,9690,7536.0,7635.0
http://semen.revues.org/3166,9448,8465.0,8559.0
http://sociologie.revues.org/1132,9447,8331.0,8e3
http://osp.revues.org/741,9283,8118.0,8118.0
http://enquete.revues.org/1133,9257,7992.0,8008.0
http://osp.revues.org/2136,9245,8498.0,8471.0
http://rfp.revues.org/463,9192,8124.0,8112.0
http://configuracoes.revues.org/2219,9080,8539.0,8584.0
http://cp.revues.org/112,8925,8140.0,8088.0
http://socio.revues.org/511,8806,7835.0,7767.0
http://economierurale.revues.org/406,8586,7740.0,7783.0
http://edso.revues.org/174,8528,7434.0,7369.0
http://communicationorganisation.revues.org/1873,8509,7466.0,7427.0
http://pontourbe.revues.org/359,8250,7829.0,7816.0
http://sociologie.revues.org/1200,8186,7352.0,7279.0
http://crcv.revues.org/99,8147,7003.0,6928.0
http://ethiquepublique.revues.org/90,8133,6770.0,6833.0
http://anthropologiesante.revues.org/1015,8068,7541.0,7499.0
http://sociologies.revues.org/993,7799,6688.0,6739.0
http://sociologie.revues.org/1593,7794,6652.0,6468.0
http://etudesrurales.revues.org/68,7790,6386.0,6394.0
http://alsic.revues.org/300,7768,6749.0,6684.0
http://ethiquepublique.revues.org/119,7692,6099.0,6166.0
http://span.revues.org/1344,7460,6718.0,6559.0
http://enquete.revues.org/263,7448,4916.0,5156.0
http://rechercheformation.revues.org/1242,7353,6356.0,6203.0
http://pyramides.revues.org/558,7328,6472.0,6404.0
http://factsreports.revues.org/678,7309,6702.0,6686.0
http://terrain.revues.org/1203,7303,6606.0,6625.0
http://lectures.revues.org/990,7202,6575.0,6515.0
http://lectures.revues.org/520,7163,6305.0,6284.0
http://lectures.revues.org/1430,7124,3122.0,4202.0
http://linx.revues.org/225,7118,6187.0,6227.0
http://ripes.revues.org/307,7094,6299.0,6297.0
http://reperes.revues.org/254,7051,6554.0,6526.0
http://sociologies.revues.org/3204,7031,6578.0,6580.0
http://alsace.revues.org/1234,7026,5944.0,5957.0
http://communicationorganisation.revues.org/1824,7018,6235.0,6213.0
http://quaderni.revues.org/525,7018,6458.0,6463.0
http://sejed.revues.org/6428,6998,6695.0,6663.0
http://sociologie.revues.org/1447,6982,6457.0,6420.0
http://rsr.revues.org/346,6945,6174.0,6171.0
http://bulletinhispanique.revues.org/2951,6940,6439.0,6406.0
http://ries.revues.org/1820,6933,6021.0,6013.0
http://insitu.revues.org/2362,6861,6028.0,6019.0
http://genrehistoire.revues.org/373,6843,6018.0,6017.0
http://revdh.revues.org/290,6697,5362.0,5230.0
http://traces.revues.org/211,6664,5826.0,5786.0
http://communication.revues.org/3395,6654,6235.0,6248.0
http://lectures.revues.org/118,6492,5210.0,5294.0
http://communicationorganisation.revues.org/3269,6481,6091.0,6045.0
http://sociologies.revues.org/2964,6426,5722.0,5636.0
http://educationdidactique.revues.org/232,6360,4998.0,5031.0
http://rechercheformation.revues.org/833,6349,5530.0,5493.0
http://aspd.revues.org/142,6346,5586.0,5591.0
http://osp.revues.org/2137,6287,5887.0,5864.0
http://leportique.revues.org/548,6249,5567.0,5582.0
http://rechercheseducations.revues.org/260,6218,5657.0,5665.0
http://lectures.revues.org/612,6209,5367.0,5148.0
http://perspectiveschinoises.revues.org/900,6159,5423.0,5426.0
http://anneemaghreb.revues.org/2555,6144,5691.0,5513.0
http://rechercheseducations.revues.org/159,6096,5064.0,5145.0
http://interventionseconomiques.revues.org/75,6071,4712.0,4807.0
http://rfp.revues.org/157,6060,5086.0,5120.0
http://sociologie.revues.org/1992,6056,5365.0,5299.0
http://chrhc.revues.org/1809,6046,5484.0,5473.0
http://trivium.revues.org/4490,6030,5442.0,5435.0
http://geocarrefour.revues.org/980,6017,5424.0,5352.0
http://trace.revues.org/468,5871,5238.0,5252.0
http://lisa.revues.org/499,5852,5272.0,5279.0
http://rh19.revues.org/1089,5660,4841.0,4856.0
http://ccec.revues.org/3212,5617,5340.0,5332.0
http://communicationorganisation.revues.org/2022,5594,5095.0,5077.0
http://clo.revues.org/1518,5578,5280.0,5292.0
http://pyramides.revues.org/473,5577,4839.0,4813.0
http://temoigner.revues.org/528,5571,4846.0,4879.0
http://rechercheseducations.revues.org/84,5483,4199.0,4283.0
http://osp.revues.org/1527,5474,4818.0,4769.0
http://communicationorganisation.revues.org/411,5414,4644.0,4622.0
http://communication.revues.org/1353,5405,4850.0,4853.0
http://lectures.revues.org/171,5399,3350.0,3365.0
http://alsace.revues.org/1523,5379,4762.0,4698.0
http://etudesphotographiques.revues.org/747,5372,4860.0,4830.0
http://span.revues.org/540,5359,4757.0,4596.0
http://rfp.revues.org/3106,5337,5238.0,5244.0
http://edso.revues.org/663,5333,4639.0,4586.0
http://factsreports.revues.org/869,5315,4916.0,4906.0
http://osp.revues.org/1770,5296,4582.0,4584.0
http://bifea.revues.org/2272,5292,5019.0,5022.0
http://polis.revues.org/7541,5291,5015.0,5015.0
http://pistes.revues.org/3658,5278,4702.0,4694.0
http://pistes.revues.org/70,5253,2603.0,2954.0
http://eps.revues.org/3869,5221,4816.0,4826.0
http://jsse.revues.org/786,5213,4686.0,4621.0
http://polis.revues.org/1868,5187,4697.0,4772.0
http://osp.revues.org/1061,5180,4360.0,4431.0
http://hommesmigrations.revues.org/1235,5129,4541.0,4555.0
http://leportique.revues.org/381,5107,4452.0,4417.0
http://framespa.revues.org/899,5102,4554.0,4523.0
http://ripes.revues.org/252,5100,4515.0,4506.0
http://rfp.revues.org/2169,5016,4283.0,4281.0
http://edso.revues.org/1191,4983,4287.0,4246.0
http://cal.revues.org/1573,4955,4398.0,4389.0
http://communicationorganisation.revues.org/1887,4911,4271.0,4272.0
http://ress.revues.org/679,4906,4374.0,4370.0
http://regulation.revues.org/11480,4885,4385.0,4379.0
http://enquete.revues.org/94,4851,4075.0,4124.0
http://etudescaribeennes.revues.org/882,4844,4077.0,4082.0
http://ries.revues.org/778,4819,4150.0,4171.0
http://rha.revues.org/288,4816,4239.0,4246.0
http://jsse.revues.org/575,4804,4354.0,4341.0
http://labyrinthe.revues.org/4153,4746,4372.0,4399.0
http://leportique.revues.org/1381,4715,4351.0,4334.0
http://osp.revues.org/1716,4706,3939.0,3908.0
http://clio.revues.org/419,4703,4222.0,4203.0
http://polis.revues.org/1417,4690,4383.0,4402.0
http://jsse.revues.org/493,4681,4143.0,4135.0
http://insaniyat.revues.org/4559,4634,4465.0,4381.0
http://rh19.revues.org/627,4621,3872.0,3804.0
http://lisa.revues.org/1626,4604,3973.0,3936.0
http://revdh.revues.org/201,4569,3881.0,3889.0
http://teoros.revues.org/1482,4569,3754.0,3763.0
http://pyramides.revues.org/560,4544,4167.0,4132.0
http://rfp.revues.org/2098,4532,4090.0,4083.0
http://tfe.revues.org/839,4507,3822.0,3839.0
http://etnografica.revues.org/1660,4499,4076.0,4130.0
http://aldebaran.revues.org/69,4472,3673.0,3721.0
http://edso.revues.org/460,4453,3875.0,3862.0
http://rechercheseducations.revues.org/396,4405,3918.0,3922.0
http://ticetsociete.revues.org/365,4373,3889.0,3910.0
http://nuevomundo.revues.org/47723,4364,4287.0,4285.0
http://socio-logos.revues.org/2465,4342,3999.0,4027.0
